Gene,log2FC,pvalue
IFT81,-0.127218681,0.304118637
PHKA1,-0.221047145,0.001804927
STK24,-0.199509682,5.76E-06
CCDC74A,0.173591327,0.295315793
ZNF580,-0.034492561,0.765988821
RGS2,-0.02394573,0.885248444
SRRD,-0.176749403,0.027102427
SP2,-0.397530613,3.80E-06
ZNF689,-0.209144511,0.011595732
SRRM2,-0.539832254,7.67E-16
USP13,-0.372392332,2.32E-09
COL9A3,-0.265418616,0.13080089
LPAR2,-0.103966694,0.533158572
NPIPA8,-0.133561891,0.452440464
LSM6,0.040043454,0.680434358
NSD1,-0.529242528,9.60E-20
KCTD6,-0.097445363,0.434986553
PIGU,0.057268222,0.545250594
ANP32B,-0.236238355,8.29E-06
RBM4B,-0.20901953,0.040518518
C1orf162,-0.090329174,0.373082674
VHL,-0.196891274,0.019254908
YTHDC2,-0.373063763,6.91E-06
FLYWCH1,0.067650317,0.586626021
SUGP2,-0.335363737,2.16E-06
DCPS,-0.215029221,0.051305883
SMURF1,-0.141549878,0.147173674
FAM53C,-0.250277732,7.54E-05
ERMARD,0.167514584,0.138976607
OTOF,-0.176217953,0.249094641
APPL2,-0.14702684,0.212695322
KIF2C,-0.267035789,4.95E-08
BBC3,0.129361048,0.481916672
CAT,0.027799868,0.668229961
RBM6,-0.445403744,6.50E-11
ELK4,-0.395198543,5.53E-11
FOXO1,0.000916543,0.9946695
PIGW,-0.365931434,3.61E-06
TAF5L,-0.142920642,0.043126795
HNRNPD,-0.485521169,8.15E-15
PIK3R2,-0.168436931,0.195557502
OSBPL3,-0.38916232,5.20E-06
FAM206A,0.09909096,0.424551135
ZBED1,-0.191127132,0.020224309
RCL1,-0.094347027,0.343960209
MICALCL,-0.089036264,0.546008736
LIG1,-0.383050144,1.73E-12
NFIX,-0.487815435,9.74E-11
RPF2,-0.167966093,0.105058161
CCDC146,-0.167017504,0.248384059
LGMN,0.115735468,0.131300754
RNF135,0.020532066,0.877310663
ZNF605,-0.37321397,4.00E-05
JAML,-0.206525067,0.216912653
EME1,-0.171043133,0.101115896
PPP1R14C,-0.319716147,0.043287138
NUP85,-0.124368533,0.057590177
TMEM170B,-0.300468922,8.36E-05
CDC42BPB,0.032330193,0.809377444
CBX5,-0.612122137,2.19E-29
BRD7,-0.260341558,7.15E-05
AL159163.1,0.009984752,0.95000553
SNX5,-0.137308082,0.00978518
ITIH4,0.030405442,0.821108843
ADD1,-0.136752297,0.004413279
SREK1IP1,-0.121054584,0.063763346
ZBED5,-0.131430932,0.107079936
STAT5B,-0.272987634,3.23E-10
ACVR1B,-0.199819517,0.026243739
NDC1,-0.22455745,2.62E-05
GAS2L1,-0.042829065,0.80758336
STARD7,-0.182661633,7.78E-08
CAMK1D,-0.388759354,0.0028545
LRRIQ3,-0.386648702,0.027123466
SERTAD1,0.295870021,0.100256126
CHRNA9,-0.208108106,0.115507766
ANK2,-0.1189054,0.485723648
RASSF8,-0.360387776,1.17E-05
KLHL2,0.040452649,0.698651286
SLC44A1,-0.008610206,0.896074739
SRRT,-0.404003975,1.92E-18
TONSL,-0.202170541,0.101218369
ZNF839,-0.051908289,0.628344799
BCL2,-0.630823647,9.21E-13
ACVR2B,-0.437357502,2.16E-09
NIN,-0.37122913,1.43E-09
SMC1A,-0.52918858,1.82E-27
SMARCC1,-0.437788075,1.68E-25
NIPSNAP2,0.009755337,0.879943242
DHRS12,0.140848368,0.409124036
CHKB-CPT1B,0.052746968,0.769505653
FAM171A1,-0.206284141,0.038723232
HEATR6,-0.207488565,0.030625577
MDM2,-0.365536243,5.41E-11
EPHB1,-0.034609205,0.772711661
CFD,0.14827328,0.415431337
CYB5RL,-0.247624517,0.031328323
SFPQ,-0.400804293,3.27E-38
BAMBI,-0.055713631,0.679973745
FBXW4,-0.172945864,0.067859685
CYP26B1,-0.231937632,0.095125445
GTSE1,-0.262272846,0.000161961
DMC1,-0.446446075,0.000469723
TTL,-0.268598797,4.02E-05
COMMD3,0.242953806,0.015005664
UQCC3,0.327968489,0.022070077
ETV4,-0.211852367,0.177736798
PLS1,-0.248150987,0.000821423
NDUFAF4,-0.134083859,0.166790098
PTPRG,-0.344470879,0.004078256
ZSWIM4,-0.131784486,0.289007712
ZNF862,-0.232767403,0.056995568
ZNF431,-0.396346652,4.34E-07
TCOF1,-0.492449367,3.59E-12
PUM1,-0.36215738,4.15E-09
ARID1B,-0.466430832,1.35E-11
AMH,0.052501496,0.770481121
SPRY2,-0.265711879,0.094319483
AC023055.1,0.040397067,0.826629565
THAP3,0.169857198,0.191572056
RGPD4,0.080452504,0.645816403
ZFP36L1,-0.301765921,0.000554805
SNRK,-0.322825418,2.35E-06
ITPKB,-0.243739381,0.005321886
ADNP2,-0.307381372,9.97E-06
ZNF700,-0.141563986,0.314650852
RSC1A1,-0.488580444,0.004093542
HIST1H2BH,-0.192515707,0.277977045
TAOK2,-0.167020552,0.029571769
VPS36,-0.140655516,0.02466798
AASDH,-0.200389919,0.039316912
SGMS1,0.008279993,0.951243811
PAQR3,-0.129761315,0.076903614
SMARCC2,-0.378292738,2.49E-12
ZNF559,-0.078190377,0.588267589
C1orf216,-0.154395197,0.131170153
EIF5A2,-0.128118868,0.139449935
ZSCAN25,-0.166859027,0.050106035
CCDC65,-0.037314354,0.793613246
TARDBP,-0.287690617,1.06E-09
BMPR2,-0.275293439,0.001558531
AOC2,-0.082646348,0.647949722
RBSN,-0.155618779,0.114959504
DYRK1A,-0.315477079,1.38E-07
CD274,-0.170160183,0.118580397
TUBB2B,-0.072595639,0.619422463
ZNF134,-0.136300621,0.165737542
ZNF790,0.032881624,0.807502745
NELFCD,-0.234154921,8.30E-07
SLC16A1,-0.271527336,1.34E-08
SKA2,-0.131557408,0.041141578
CHAF1B,-0.28603489,4.50E-05
TMEM35B,0.457936957,0.004406144
TLK1,-0.342349671,6.87E-11
AC099811.2,-0.33901302,0.046733421
CD3EAP,-0.423174722,2.20E-05
FXN,-0.119139887,0.241819085
DCAF16,-0.175602739,0.023825488
IFI35,0.07441573,0.684047662
C9orf64,-0.151108059,0.030723125
CLDN12,0.166265902,0.279085283
GRK2,-0.208753707,0.021587522
CNTD1,-0.040936089,0.797133344
SLC16A10,-0.27302775,0.028291388
TAF5,-0.326293668,0.000120205
CENPL,-0.230453991,0.00593801
HNRNPR,-0.302447467,1.86E-11
TMEM150A,-0.172025205,0.183203858
AK7,-0.077694958,0.613191296
FOXC1,-0.299631462,0.061233915
GPR19,-0.18666188,0.245539766
PPP1R36,-0.229847831,0.106984501
KANSL3,-0.286548942,1.21E-08
RUSC2,-0.148618397,0.279490447
HIST1H2AE,-0.169293663,0.190852679
SLC4A2,0.026624524,0.753553179
ACTL6A,-0.173594727,0.007633695
USP53,-0.200544517,0.208251878
GPR176,-0.151433044,0.212785222
HOXB7,-0.043533293,0.800796851
SPRTN,-0.076835851,0.367962513
CORO2A,-0.373239846,1.11E-05
DDB2,-0.01838677,0.84033679
PRKDC,-0.806135822,1.47E-30
SVBP,-0.229533971,0.115183191
RHOBTB3,-0.389934844,1.89E-05
CARMIL2,-0.283084245,0.00696724
RFC5,-0.219675396,7.40E-05
TERF2,-0.231287694,0.000242996
USF3,-0.661663602,4.87E-16
RBM39,-0.250913363,4.62E-09
MARK2,-0.177212642,0.024943336
HIRA,-0.292531863,0.00027767
PPP2R3C,-0.184163828,0.048676834
MIIP,0.070733991,0.647011836
PRR14L,-0.468631768,1.52E-16
ANKRD27,-0.159899019,0.013863781
ZNF527,-0.034313609,0.763868593
CDC42EP4,-0.003745349,0.982951036
SETD1B,-0.465523261,9.76E-07
EXOSC8,0.015717962,0.830017321
USP42,-0.295642961,0.000218904
MMS22L,-0.458280854,3.57E-10
SRCAP,-0.623529306,7.17E-13
MCM7,-0.270719106,1.23E-12
MOB4,0.124854916,0.209006685
PHAX,-0.165368348,0.014996879
ZUFSP,-0.153019112,0.159804438
IMMP1L,-0.044559622,0.684766045
ITGA4,-0.559341289,1.28E-34
LRG1,-0.092858271,0.454876102
STX2,-0.309370684,0.012855804
CCNJ,-0.421199619,2.27E-05
SEPT8,-0.228354154,5.23E-07
WARS2,-0.259840478,0.006478613
TTC26,-0.101896067,0.319876399
KAT6A,-0.544668125,3.15E-23
UNK,-0.136941526,0.107705405
USP28,-0.290767484,0.004398854
RNF8,0.022120594,0.785249972
CHD8,-0.447531244,1.56E-21
UBE2I,-0.143860009,0.000970169
MFSD12,0.121915884,0.255871195
KIF3A,-0.425404561,2.11E-08
SLC2A4,-0.255366661,0.033914941
POLQ,-0.622669943,1.78E-06
FDXACB1,-0.250255931,0.087666671
TMEM168,-0.136993372,0.42965613
SLC25A14,0.066201443,0.576869725
APP,-0.041229218,0.297608719
NRARP,-0.154794934,0.206743536
POLB,0.088842106,0.354304639
TLK2,-0.349136703,1.62E-09
IFITM1,-0.239220331,0.11583246
HPS5,-0.261182817,0.000834552
TOP3A,-0.276038688,1.10E-06
NUP98,-0.31955779,2.65E-17
SMC5,-0.404559835,1.60E-11
ARID5B,-0.125048744,0.382961785
CYP4V2,-0.114912611,0.207258421
ZDHHC21,-0.207002401,0.169969908
BACE2,-0.12951688,0.274150461
GBE1,-0.210806422,0.017641652
DHX30,-0.196220956,0.003524241
RASA1,-0.333456924,6.96E-06
SMG1,-0.606012034,3.37E-11
C5orf22,-0.195270263,0.018770105
SCAF4,-0.55984012,2.43E-26
CBX1,-0.293303523,2.39E-11
TRPC3,-0.111907294,0.326171566
POLR1C,0.058276441,0.513874604
ZNF445,-0.443165759,5.37E-07
IL18BP,-0.147550909,0.392101178
C17orf53,-0.278269735,0.020556573
PCNT,-0.474222761,1.27E-08
PCGF1,0.026409436,0.851682365
C17orf51,-0.346265193,0.017657654
CHN1,-0.303507243,0.004309062
ST3GAL3,-0.029195663,0.803859967
MARCH2,0.370507191,0.017433659
PDK1,0.039226954,0.666244196
AGER,-0.087677906,0.62922753
GJC3,-0.180331673,0.128226862
USP37,-0.487782138,4.82E-20
HSBP1,0.004307745,0.955273051
DYRK1B,0.005997414,0.972035284
NTN5,-0.091459706,0.597789956
BIRC5,0.055568042,0.326658274
RAB15,-0.339330123,0.001038699
HESX1,-0.242132547,0.153279888
OTUB2,-0.151749267,0.371752565
UBE2C,-0.259290433,0.00477008
ALG1L,0.02359886,0.889674043
MIB1,-0.510258384,5.15E-18
ARL4D,-0.248398084,0.130962484
DPY19L1,-0.02890898,0.749394824
USP7,-0.414165259,3.28E-14
ADM,-0.010184075,0.958785383
UNG,-0.286125434,1.16E-09
GGT2,-0.246772576,0.058576866
MCM3,-0.422205624,1.77E-34
INIP,-0.128302278,0.083010804
VCL,-0.294505972,0.001039072
MTSS1,-0.272179062,0.011599641
DCP1B,-0.131380811,0.245535195
LCLAT1,-0.112352479,0.100783103
BRD2,-0.106713561,0.041987727
PAPD5,-0.381388033,3.26E-05
EXOC6B,-0.217727467,0.01091784
NBPF3,-0.036717289,0.65467295
SUN1,-0.029103626,0.676548772
AP1S2,-0.096844145,0.293927483
NHEJ1,-0.250758786,0.0313577
DTL,-0.483524823,3.65E-27
CU639417.2,-0.41856475,0.011518741
PACRGL,0.001894464,0.988616826
CENPQ,-0.0280379,0.7856893
TBC1D2,-0.173968281,0.334916272
NFATC3,-0.405047548,5.33E-15
SSBP2,-0.061950219,0.114886819
EPSTI1,-0.138942259,0.234976332
PRRG3,-0.070302702,0.69490942
NID2,-0.223271375,0.059688617
BCL9,-0.36114969,7.42E-05
RABIF,-0.061016754,0.50163937
UPF3B,-0.19463808,0.021600265
NFIL3,0.121481974,0.391717338
FBXL20,-0.179615774,0.018391052
RAD1,-0.206730146,0.00184449
EXOSC6,-0.27195004,3.71E-05
PCNX1,-0.216888055,0.000440553
AGBL2,-0.118808623,0.445370297
CAMTA2,-0.189852063,0.114720186
RAN,-0.133419572,0.023429027
CCDC96,0.035027851,0.845478277
LINC00959,-0.206033602,0.242818677
ZNF84,-0.224904775,0.000921328
ZNF415,0.001804443,0.988538447
ZBTB1,-0.272302745,8.66E-05
UHRF2,-0.295507024,8.38E-05
RARA,-0.165740873,0.163794079
CTNNB1,-0.046451014,0.274018386
FAM89A,0.086689119,0.540661493
TMOD2,-0.308174995,0.00088741
UPF3A,-0.082726534,0.325466615
TCTE3,-0.018066641,0.912661105
EFCAB5,-0.071270095,0.686887425
PERP,-0.384410962,0.024725793
KLHDC9,-0.048571072,0.766954727
SH2D3C,-0.219065451,0.200538126
RABL2A,-0.004021862,0.978991362
ATG4C,-0.074168449,0.432042699
ZNF609,-0.402964869,4.22E-08
ZBTB18,-0.230521925,0.000445461
DVL2,-0.027005379,0.754747939
ADARB1,-0.220568912,0.057196812
ITGAM,-0.313657606,0.034660191
SUMO2,-0.110444597,0.054437561
TNFRSF13C,-0.050398282,0.775789935
CEP55,-0.236726027,4.87E-05
TMEM39B,-0.000314642,0.997626522
OVCA2,0.401820818,0.014203878
RHEBL1,0.076783465,0.606416061
PAFAH1B1,-0.282791098,7.55E-11
UBA2,-0.169200816,0.000185295
CCDC34,-0.072220114,0.429304626
ZNF665,-0.023249529,0.875596395
ECE1,-0.292886346,0.000387394
KPNA2,-0.245032497,2.85E-10
ZC3H4,-0.40773994,5.26E-09
ATRX,-0.486647517,1.34E-11
ATF7,-0.34514712,5.34E-06
TGS1,-0.352998751,1.75E-08
PTPDC1,-0.250348327,0.037264531
MOCS2,-0.025872952,0.752868893
AC025283.2,-0.100954553,0.541459231
DHX15,-0.419584112,3.30E-25
HK2,-0.349158507,3.48E-09
MRPL58,0.157997052,0.074376932
CYP2U1,-0.096062405,0.221220057
PFKFB1,-0.238306897,0.091730828
CXXC4,-0.012408986,0.935002505
NR2C2,-0.366430285,8.31E-09
ZNF782,-0.164201067,0.29211497
USP21,-0.053977583,0.513654649
BDP1,-0.602593652,2.08E-12
GRPEL2,-0.273640319,0.000317826
LBH,-0.117560281,0.092619727
IQGAP3,-0.164790611,0.299096409
VAC14,-0.122849019,0.281292975
PRR19,-0.050776475,0.772390059
SOX12,-0.119471302,0.298846585
DNMT3A,-0.432107248,1.42E-14
KRBA1,-0.160739345,0.231634302
LZTFL1,-0.111153399,0.07071501
LDB3,-0.06362496,0.6195108
GNPTAB,-0.217331386,0.00160607
BHMG1,0.027483135,0.861737932
PPIA,-0.070529585,0.113964256
COL1A1,-0.374008781,0.02251247
MTERF4,-0.055799487,0.543825379
SRSF10,-0.268234792,8.01E-08
URB2,-0.427416328,4.15E-13
PHF10,-0.404423198,4.02E-16
EML6,-0.36678257,0.005744355
GRB10,-0.189401387,0.110399403
TRIM59,-0.099688863,0.458536965
CASP6,0.029967294,0.744051373
RNF20,-0.386638056,1.71E-08
PTCD1,-0.134130691,0.29806242
DMWD,-0.071668013,0.561906662
CEP290,-0.295871384,0.014570826
FAM216A,-0.011216124,0.885728851
ZNF681,-0.436985758,4.18E-06
CREBBP,-0.432107262,7.10E-09
MYLK2,-0.114698453,0.399513584
THSD1,0.066905487,0.707766829
GATAD2B,-0.457437911,1.25E-14
NUTM2D,-0.411081062,0.011396954
MYD88,-0.054910518,0.478809559
RFWD3,-0.368450704,5.24E-21
ERI2,-0.311619024,0.000127358
LPGAT1,-0.31665389,5.12E-09
FAM53A,-0.193995359,0.249815252
STAT1,-0.280915663,0.090532623
SRSF2,-0.182398033,0.000189144
ZDHHC13,0.075672058,0.376748266
CCDC88A,-0.422534427,9.51E-10
CDKN2AIP,-0.112162019,0.099777557
BHLHE40,0.225973278,0.157674682
PSIP1,-0.273310632,5.02E-06
PER3,-0.345506838,0.043861725
LSM11,-0.509201007,1.06E-07
CLDN15,-0.035482445,0.832232783
TTLL5,-0.249831856,0.000195658
FN3KRP,-0.025871473,0.764154308
MROH6,-0.057383463,0.749591465
NUDT17,-0.07159899,0.683982026
METTL18,-0.081708373,0.508223332
KIAA0355,-0.263748442,0.003583267
MLH3,-0.452250221,4.36E-08
SLC8A1,-0.285070734,0.09828979
THOP1,-0.09104082,0.26265603
DBR1,-0.168895134,0.036305227
POLR3GL,0.114603024,0.296749956
SLC6A15,-0.222282342,0.094296281
GEMIN2,-0.099996917,0.342928377
CSRP2,-0.054085799,0.694117077
APLP2,-0.063605044,0.179304208
ANKRD18A,-0.394984609,0.020821617
LCOR,-0.567470111,2.32E-14
CCNY,-0.084536196,0.144042855
TMEM68,-0.022637776,0.810394248
HACD2,-0.131871279,0.026525175
RFC4,-0.143021768,0.015643407
THNSL1,-0.249205335,0.017482437
SETD1A,-0.321120708,0.000498954
LLGL1,-0.086993723,0.433371836
PIP4K2B,-0.300683829,1.48E-07
VPS52,-0.224914167,0.002708973
FBF1,-0.024980983,0.87799185
CRIP1,-0.039985091,0.815401171
INTS7,-0.238862249,0.00010696
HIST2H2AA4,0.057109567,0.747382565
MYO6,-0.238975155,0.183043497
NCAPD3,-0.417084402,1.16E-21
PARVB,-0.073239013,0.651895366
ZFP30,-0.054526008,0.543754068
BLOC1S5,-0.224810882,0.001367711
TBC1D1,-0.345459545,6.30E-09
CBSL,-0.210120614,0.160446412
TANC2,-0.604649767,2.21E-10
TIPIN,-0.350009431,0.000108316
ARMC5,-0.078144427,0.556171128
KLF5,-0.40019737,0.020879292
PHACTR1,-0.408863558,0.015970993
AC069368.1,-0.305482948,0.033332015
AC024270.1,-0.303824996,2.51E-10
DDX58,-0.360301527,0.028353839
FASTKD1,-0.247087913,0.003395544
MEX3B,-0.502267616,2.24E-05
JAM3,-0.095263181,0.287805015
NOM1,-0.483962376,1.33E-11
MAPK8IP1,-0.157269916,0.284997681
NHSL2,-0.28553999,0.061468746
ARID2,-0.383633406,3.82E-08
WDR34,-0.012459789,0.904964924
CCP110,-0.352649811,2.50E-10
PLD2,-0.308663945,0.065981767
PPP2R1B,-0.353557535,5.89E-10
POLR3B,-0.238987496,0.012402437
ZNF33B,-0.079614571,0.480816488
CERS2,-0.052962168,0.310220663
WDR20,-0.066736692,0.442710958
PHF6,-0.524852172,2.05E-20
GPRASP1,-0.829817293,2.52E-09
FAM72A,-0.201807347,0.064013349
CENPJ,-0.390076898,0.000150153
C3orf58,-0.107802819,0.236168778
LMBRD1,0.116544316,0.261559449
ZNF565,-0.362989799,0.042542791
TMEM185B,-0.158053347,0.078749714
C2CD4B,-0.247307285,0.102485616
LDHC,0.016373102,0.913519769
NUP205,-0.492048237,9.21E-29
CDK5RAP2,-0.456609405,2.29E-12
FAM109A,0.119149273,0.506487534
ING3,-0.256010459,0.001611199
PRKCE,-0.470920801,0.001555831
PKIA,-0.342327632,0.04020814
RAVER1,-0.191616923,0.195702527
SMARCD1,-0.276907533,2.38E-07
CMC1,0.118222618,0.261359157
GPATCH8,-0.432136367,2.55E-12
TGFB3,-0.274488448,0.117831128
TBCK,-0.178435107,0.06968478
DIP2B,-0.527252085,4.93E-26
ZDHHC11,-0.183415046,0.312376384
CLUAP1,-0.147720495,0.162228214
IL1RAP,-0.121530939,0.485400851
CHAF1A,-0.428158118,4.49E-15
NINJ2,-0.038372389,0.834293933
INPP5B,-0.212310579,0.025543244
EGFL8,0.114677239,0.522038055
PARP11,-0.197774029,0.137883148
KIAA1328,-0.161917939,0.263502747
ZKSCAN2,-0.528097104,2.19E-11
ZNF627,-0.041086833,0.631946695
NSMCE4A,-0.015971105,0.810713789
RNF208,-0.034523898,0.823156329
BCORL1,-0.463124287,4.71E-06
HR,-0.536598291,0.001060981
NFIC,-0.507405168,3.27E-11
MECOM,-0.403904469,0.000330796
MPHOSPH6,-0.156075948,0.111238011
PYGO2,-0.096869964,0.251767619
STAG1,-0.385291896,1.62E-12
TMCO6,0.046362899,0.764348725
SGTB,-0.202645738,0.06393964
RAD52,-0.14676467,0.297617524
YEATS2,-0.405928674,1.20E-09
CMTM4,-0.286976968,0.028745371
ZNF121,-0.277017232,0.001126097
DCAF15,-0.183255178,0.039833279
C1orf56,0.276697086,0.093324491
DLX1,-0.017574408,0.922234868
HSPG2,-0.187951014,0.141720031
CSRNP2,-0.196981731,0.004848576
ATP2B3,-0.247448555,0.141033332
MVP,-0.225933932,0.126509385
CEP83,-0.221290248,0.066957603
H3F3C,0.007995721,0.961645187
GKAP1,-0.113743987,0.355541225
FARP2,-0.313946441,5.75E-06
RNF219,-0.253338412,0.000191351
PLEKHO2,-0.010493959,0.933811335
GNB4,-0.39373341,0.000106266
RNASEH2B,-0.144963641,0.004219503
PIGZ,-0.020130189,0.908606484
BCL2L2,-0.205190482,0.160036188
TMEM156,0.000852604,0.994334066
CEP41,-0.240664981,0.000242026
EEF1E1-BLOC1S5,-0.13602517,0.430746555
ADNP,-0.521472572,1.72E-38
TLE1,-0.096794301,0.462123126
TAF4,-0.401744064,1.80E-08
LGALS3BP,-0.243689022,0.170709252
SAAL1,-0.169615899,0.02447937
SLC43A3,-0.354195162,3.94E-11
KBTBD4,-0.183419109,0.066432223
JADE3,-0.391564941,1.75E-10
CEP72,-0.284157496,0.038165705
ORC2,-0.296396412,0.000120304
SNX29,-0.192712707,0.011258309
GOLGA8B,-0.150689108,0.237698427
KANSL1,-0.297399267,7.99E-05
NLGN2,-0.301218011,0.011880832
ATP5SL,-0.01357237,0.856555475
PDS5B,-0.458598045,5.24E-12
ABCC1,-0.411870681,2.29E-13
CEP70,-0.308622572,2.59E-05
CENPN,-0.133022858,0.063715294
IGSF3,-0.441515199,1.04E-05
COA7,-0.309298539,0.000119508
SYT7,-0.279904591,0.027708614
CENPVL3,-0.048414548,0.777989303
C17orf75,0.001014308,0.991111032
B3GLCT,-0.198094752,0.054747014
TNFAIP8L1,-0.286933039,0.032616861
ARHGEF19,-0.299072126,0.054559611
CARMIL1,-0.548435925,0.00175693
AC093525.2,-0.481304465,0.007035668
MIPEP,-0.057140819,0.598984965
LRRCC1,-0.222915113,0.024597095
ANKZF1,-0.083335382,0.429830638
NEIL3,-0.123429761,0.074608589
DTX3L,-0.342102941,0.011841646
KIF3C,-0.268487171,0.003190624
DESI2,-0.236948939,7.01E-06
ZNF195,-0.230933255,0.006377006
RAD50,-0.373849759,1.90E-10
ZNF595,-0.268366795,0.054936339
STK32B,-0.380128298,0.030412495
TAF15,-0.584491377,8.61E-12
TCEANC,0.012944835,0.937640102
HADH,-0.03509522,0.519913438
UTP20,-0.665276653,7.94E-22
METTL14,-0.177082691,0.034066526
HIST1H2AC,0.435043609,4.35E-05
BICRAL,-0.291560516,0.000762631
FBXO15,-0.111154208,0.390221025
ACIN1,-0.425239322,1.89E-16
KIAA1549,-0.551884269,2.91E-07
ZNF507,-0.448655437,1.16E-08
NOL11,-0.266502234,2.39E-05
FO681492.1,-0.029841496,0.855679945
MUC1,-0.248437185,0.173504059
FBXO45,-0.337212536,1.90E-06
PPM1L,-0.305306711,0.000181727
ZFP36L2,-0.145746111,0.063851988
PC,-0.145103885,0.132405155
ZC3H14,-0.207011869,5.61E-05
TRIM45,-0.297179044,0.095153956
MT-ND1,-0.009351073,0.934905754
NINL,-0.255006611,0.033903536
MPHOSPH9,-0.273793302,3.09E-06
DDX59,0.084449644,0.410574789
MAP3K6,-0.228176758,0.067040579
C12orf65,-0.1017361,0.067585795
HERC6,-0.22917518,0.130735471
PFKP,-0.216991755,6.55E-05
TARBP1,-0.44088798,3.00E-07
SPATA2L,0.353291655,0.039745859
NOTCH3,-0.092333884,0.448739525
IMMP2L,-0.009241438,0.957359342
DIXDC1,-0.765512635,1.26E-05
KRI1,-0.195237851,0.002013403
MALT1,-0.39674898,3.39E-06
NDST1,-0.474118288,2.27E-05
CWC22,-0.274136061,3.75E-05
GVQW2,0.082518304,0.594990706
PLAGL2,-0.489070519,1.83E-10
IRAK1BP1,-0.309214419,0.007721678
PFAS,-0.472000987,2.32E-08
TMPPE,-0.099306459,0.550737022
KLHL12,-0.10811624,0.16747376
ATP11A,-0.380433736,2.86E-07
ZNF280B,-0.370958,0.013539606
SLF1,-0.276093157,0.001984199
ZNF362,-0.161795184,0.07761841
ALDH3B2,-0.371878636,0.024950134
DDX60L,-0.448657657,8.04E-06
NTAN1,-0.203339925,0.051585609
CLIC4,-0.212346845,0.003271965
ZBTB14,-0.292457452,0.00099443
MAP3K1,-0.393358121,0.000105375
IRX3,-0.27094097,0.032209325
SRD5A3,-0.063325516,0.607715779
BRI3BP,-0.399327099,6.84E-17
CGGBP1,-0.306430431,1.63E-14
SYDE2,-0.164492379,0.297241344
ZYG11B,-0.294092094,2.68E-05
KIF7,-0.169925563,0.094140362
ZNF428,-0.02851469,0.724258404
TPI1,-0.097330531,0.047232688
STK36,-0.106695801,0.437580972
RNF144B,-0.167042136,0.291243139
EXO5,-0.103548422,0.311534039
ATF7IP,-0.500022262,1.28E-13
SERINC5,-0.30311981,0.000600824
PECR,0.040347669,0.752088878
ZMYND19,-0.067988174,0.497311985
DARS2,-0.152071707,0.009507364
ZC3H6,-0.190536289,0.065921554
DENND1A,-0.337287188,0.002452591
ZC3H13,-0.501976767,1.06E-14
ST3GAL1,-0.219773784,0.181491247
GLMN,-0.125088724,0.199247633
ZFYVE9,-0.442058592,7.05E-06
C7orf26,-0.138882252,0.141149957
CELF1,-0.388115712,6.05E-14
FAM169A,-0.352122807,5.63E-07
PPP4R3A,-0.292556222,3.55E-09
HSPA8,-0.227815566,4.51E-08
POM121C,-0.281467395,0.000427306
FANCL,-0.259076523,0.013925489
R3HDM2,-0.246007981,0.003907048
SPIDR,-0.075627437,0.411069982
EXOG,-0.29495718,0.002256981
SLC40A1,-0.075736144,0.636979196
FRMD4A,-0.6365714,0.000153872
EP300,-0.407809896,1.08E-10
HNRNPDL,-0.396399351,1.93E-11
KRCC1,0.00747761,0.925923855
NFRKB,-0.278742974,0.000206337
INO80D,-0.530651259,3.84E-09
GZMM,0.200894738,0.273023971
BRD8,-0.160011911,0.014333546
PHACTR2,-0.562084273,1.15E-06
ZNF670,-0.258284808,0.059124928
SET,-0.301912505,1.57E-11
PLCG1,-0.317443181,2.12E-07
NARS2,-0.097832592,0.262928997
VWA8,-0.271604199,0.00031511
VPS54,-0.279330531,0.000467881
MALSU1,-0.007676404,0.930033973
TMEM159,0.278502938,0.013790656
AC113404.3,-0.008754638,0.940848017
E2F3,-0.44835817,1.51E-17
TRPV1,0.058032464,0.749073971
MSH6,-0.352004925,4.31E-17
ZNF395,-0.29369543,0.000351081
GLUD2,-0.178247724,0.223216889
ZNF182,-0.111109984,0.341178035
KIAA0319,-0.113239448,0.420779157
TSPAN33,-0.107269797,0.52733493
RTN4RL2,0.149560243,0.394424686
INSR,-0.264635577,0.002959377
ZNF440,-0.086613047,0.551595993
CYP20A1,-0.044007352,0.693488794
DEK,-0.218346325,1.52E-06
JAZF1,-0.277624581,0.026942972
KLF12,-0.471865392,6.26E-14
ZFP1,-0.260992824,8.19E-06
CDK2,-0.164214155,0.000101201
PAK1,-0.19662423,0.021450521
TMEM169,-0.0177787,0.915967898
KIF5A,-0.458321224,0.006195177
CARM1,-0.239911355,0.008947472
MCM2,-0.389306197,1.04E-12
SH3GLB2,0.112668185,0.34644912
SPECC1L-ADORA2A,-0.485424916,0.005346516
C19orf66,-0.031610519,0.833119857
HAUS2,-0.191875827,0.002994376
PLEKHM3,-0.479488973,2.62E-07
MCM4,-0.336166395,1.11E-22
USP1,-0.280859223,9.04E-09
TMEM237,-0.286278597,0.000173242
TACC3,-0.262037026,5.26E-06
TTPAL,-0.368436867,5.67E-07
DERA,-0.076470065,0.376252592
FCHSD2,-0.304346271,4.51E-05
IER3,-0.037740221,0.831336654
RAPGEF5,-0.498752649,4.45E-07
SLC4A4,-0.336376997,0.000778191
RNF44,-0.308026759,0.001103413
XPR1,-0.164643489,0.023533579
SMS,-0.291230343,2.90E-07
SMC1B,-0.250282965,0.134042238
ZNF837,0.168844268,0.333489473
BEND5,-0.155763163,0.282255674
BRCA1,-0.546838388,5.92E-18
